objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
1,15 Minutes of YouTube Fame,"McWethy, Ian",12-18,1,0,2,3,FALSE,3,Comedy,2020,,Stage Partners,TRUE,FALSE,FALSE,,The one where a kid falls on his butt and becomes a viral video a la Charlie Bit My Finger. A biting satire that explores the bizarre world of being a celebrity in the Internet age.,,,record
2,"20,000 Leagues Under the Sea","Suranna, Keith",07-10,3,1,2,6,,31,Science Fiction,1997,,Little Golden Books,TRUE,FALSE,TRUE,"20,000 Leagues Under the Sea","Based on Jules Verne's novel 20,000 Leagues Under the Sea",,,record
3,Abu Nuwas: Two Tales from Baghdad,"Winther, Barbara",6-12,3,2,2,7,TRUE,10,Folktales,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,Adapted from some of the stories of 1001 Arabian Nights.,"In the first story, Abu Nuwas, a Persian poet who lived in Baghdad in the 700s CE, solves a dispute involving stolen shoes. In the second story, he tricks a man who lent him a defective cooking pot.",,,record
4,Adaptation,"May, Elaine",10-18,3,1,0,4,,25,Science Fiction,1971,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,A contest in which the contestant advances or is sent back through the seven ages of man.,,,record
5,Aesop's Fables,"Bartlett, Dave",04-12,0,0,11,11,,46,Folktales,1979,,Open Source,FALSE,FALSE,TRUE,Adapted from Aesop's Fables.,"Multiple versions. A collection of fables credited to Aesop, a slave and storyteller who lived in ancient Greece between 620 and 564 BCE.",,Extremely similar to the Anne Glasner version. Can add additional actors; this play is told as a series of fables with a common narrator. Small cast version is included.,record
6,After Magritte,"Stoppard, Tom",8-18,3,2,0,5,,24,Mystery,1971,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Harris, his mother and his wife are a kooky trio. Enter the forceful inspector from Scotland Yard with his constable - which is strange, notes the wife, for she had ordered an ambulance. The officers proceed to place the three under arrest.",,,record
7,Aida (Scenes),"Verdi, Giuseppe",10-18,4,2,2,8,,9,Drama,1871,,Open Source,FALSE,TRUE,FALSE,,"The Egyptians have captured and enslaved Aida, an Ethiopian princess. An Egyptian military commander, Radamès, struggles to choose between his love for her and his loyalty to the King of Egypt. To complicate the story further, the King's daughter Amneris is in love with Radamès, although he does not return her feelings.",,"Contains scenes from Aida: School Edition. 2 copies of Scenes 2 and 4, 3 copies of Scene 5, and 6 copies of Scene 6.",record
8,Aladdin McFaddin,"Denson, Wil",08-14,4,6,0,10,TRUE,41,Comedy,1977,,Dramatic Publishing,TRUE,TRUE,TRUE,Adapted from The Arabian Nights.,"The sultan's beautiful daughter, Bessie Mae Moocho, loves an honest young fellow named Aladdin McFaddin, but he's a dreamer and therefore very poor. So the sultan chooses a filthy rich Oklahoma oil magnate to marry her. Aladdin finds a dirty old lamp and rubs some of the grime off—and a genie appears. He's a lovable genie, but he's deaf from all the ka-booms when he's released. Nevertheless, he and Aladdin have a grand old time thwarting the sultan's greedy plan.",,,record
9,Alice: Through the Looking Glass and Other Adventures,"Stephens, Jeffryn",06-18,1,4,26,31,,54,Fantasy,1984,,YPPC,FALSE,TRUE,TRUE,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,,There are probably 8 copies of this play. Some of the copies are alternate versions. There are multiple roles in this that are not gender specific. Many of these roles can doubled.,record
10,All the Wealth One Needs,"Leonard, Joann",4-12,2,1,13,16,TRUE,12,Folktales,,Unknown,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from 1001 Arabian Nights.,"Based on A Thousand and One Arabian Nights, this story within a story tells how a young woman's courage and intelligence saves the day.",,,record
11,All the World's a Stage,"Wilson, Henry David",10-18,13,7,0,20,TRUE,12,Drama,1968,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The children assemble on the stage and are given neither script nor plot. The parts chosen include a nurse, a shop assistant, a mother, a policeman, a politician and a rich man. The Producer's instructions are explained but fighting breaks out. The Producer's son tries to persuade everyone to play a better part. He is killed but returns to give his advice.",,,record
12,Anansi and the First Talking Drum,"Stephens, Jeffryn",04-08,2,0,6,8,TRUE,5,Folktales,1985,,YPPC,FALSE,FALSE,TRUE,Adapted from Anansi and the Magic Drum,"This is the story of Anansi, the cunning spider, and a magical drum that spoke the language of the cosmos.",,Co-located in CAPS Learning Packet curriculum.,record
13,Anansi and the Sky-God Stories,"Stephens, Jeffryn",4-8,1,1,9,11,TRUE,8,Folktales,1985,,YPPC,FALSE,FALSE,TRUE,Adapted from All Stories are Anansi's (A Tale from West Africa),"Anansi (/ah*nahn*see/) the Spider is a popular figure in the folklore of parts of West Africa. Anansi is a “trickster” figure—clever, cunning, sometimes mischievous—who uses his wits to make up for what he lacks in size and strength. This story tells how Anansi became the “owner” of all stories",,Co-located in CAPS Learning Packet curriculum. Might be a copy of Barbara Winther's,record
